company,year,revenue,assets,liabilities
AMD,2018,1419000000,4556000000,
AMD,2019,2127000000,6028000000,
AMD,2020,3244000000,8962000000,
AMD,2021,16434000000,12419000000,
AMD,2022,23601000000,67580000000,
AMD,2023,22680000000,67885000000,
AMD,2024,25785000000,69226000000,
AMD,2025,34639000000,76926000000,
INTC,2018,70848000000,127963000000,
INTC,2019,71965000000,136524000000,
INTC,2020,77867000000,153091000000,
INTC,2021,79024000000,168406000000,
INTC,2022,63054000000,182103000000,
INTC,2023,54228000000,191572000000,
INTC,2024,53101000000,196485000000,
INTC,2025,52853000000,211429000000,
NVDA,2019,2205000000,13292000000,3950000000.0
NVDA,2020,3105000000,17315000000,5111000000.0
NVDA,2021,16675000000,28791000000,11898000000.0
NVDA,2022,26914000000,44187000000,17575000000.0
